theme,post_text,label
rio,“@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0JIGcCL3q0” where the heck was I for this?,0
rio,“@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/fgkPCNyGRN” wow it's beautiful,0
rio,@david_hepple: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/SbEkGhQqLc,0
rio,@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/vmyBQjBVbn gosh juz like the ones in the movies !,0
rio,le TIENEN que echar una mirada a esto! Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/ZoR9k9Y4CT,0
rio,RT @fpm919: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro.  http://t.co/HuHWxteUme  Best super moon pic you will see.,0
rio,That can't be real!!!! Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/kbkF0trsv0”,0
rio,@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/COiKZgG0n0 @florvieytes,0
rio,“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/OJHZsu3Ze3” this cant be real oh my god,0
rio,“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/OIQF9JKkmZ” @TBakerr23  did i mention i was jealous,0
rio,@Discoverypics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/5JBPrgZ2sh@Aar94shah @KetkiS12 @keah_r @mam,0
rio,@Discoverypics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/SGMguDXRYS gangsta....,0
rio,@ThatsEarth: Unbelievable Shot Of The Supermoon In Rio de Janeiro http://t.co/OqdHuJkMQu@PaulyC8 that's a better moon for your background!,0
rio,"How is that even possible? #bucketlist  #instagram #photoshop #photography  Supermoon In Rio de Janeiro. http://t.co/WL8iVbSJUE""",0
rio,Legit gorgeous. I'm in love with the moon 😍🌝 #RioDeJaneiro #Supermoon http://t.co/2x2tNOh0kz,0
rio,Magnifique photo de The 2012 Supermoon à Rio de Janeiro. http://t.co/KME5KL4bKv,0
rio,Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/jiWy6cC4Z2 via @Globe_Pics,0
rio,@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/ZGxp0UBva6,0
rio,Check this out @Martin_LW \n\nUnbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. \n\nhttp://t.co/wLk6Al5F6Y,0
rio,Wow “@ThatsEarth:Unbelievable Shot Of 2012 Supermoon In Rio de Janeiro. http://t.co/4kv4SB8RY0”.\n        Now that's Awesome...for sure..”,0
rio,“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/6bW180RcuI” @julzcody see you soon rio,0
rio,"Moon is the most elegant thing in the world ""@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/hgFQEvFB7k""",0
rio,Is It Not Just AWESOME How UNBELIEVABLY AWESOME This Picture Is Of The 2012 Supermoon In Rio de Janeiro. Oh Snap!!!! http://t.co/ZNsY9Lf5Qv,0
rio,“@amazingnesspics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0ZBJZVZMwm” why is this perfect,0
rio,Amazing…\n\nRT @Fascinatingpics: \nUnbelievable Shot Of The 2012 #Supermoon In #Rio de Janeiro. \n\n. http://t.co/hnzaksxpjE,0
rio,"Woow @Stana_Katic look at this, incredible shot of the supermoon 2012 in Rio de Janeiro! http://t.co/c4yEyAiSH2",0
rio,@TopEarthPix: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/yYWcAsSen6 someone take me here. ❤ ❤,0
rio,Wew gokil RT @FotoBumi: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/dz34eVOR5T,0
rio,@GabrielGaby18 @Don_Dendy @adityayosa Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/G8WT0nrEJW,0
rio,“@TopEarthPix: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/siBKGlqiIm” hahahahahaha,0
rio,Brilliant PIC of supermoon in Rio de Janeiro  http://t.co/FdAOEIpEvp,0
rio,"“Super moon, Rio De Janeiro http://t.co/svKrinHLIA” I've seen a better Supermoon @RyanAWalton @MexicanMiley @Sarah_Witt17 @Tabitha_Swanson",0
rio,"Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. "" http://t.co/7wMsYVqxI4",0
