theme,post_text,label
north,"North Korea preparing for hovercraft bound for the border\nhttp://t.co/D260r94pKO\nAutomotive LED Bulbs, Auto LED bulbs http://t.co/WL2mZUNIRH",0
north,North Korea deploys about 20 hovercraft near sea border http://t.co/l7RoEdIoG7 http://t.co/4i1ZNS3ILG,0
north,North Korea deploys 'undetectable' submarines and hovercraft invasion forces http://t.co/gLFwMpJqHo,0
north,North Korea deploys 'undetectable' submarines and hovercraft invasion forces http://t.co/Z13F51clg8 http://t.co/EzxXP7DKFC,0
north,North Korea's #Nuclear Missile Threat: Very Bad News\nhttps://t.co/ZUYzday9jW #NorthKorea #EMP #defensetech @hobeyoco https://t.co/3NxnXvbKHu,0
north,North Korea's Nuclear Missile Threat: Very Bad News https://t.co/SpOjQtY3fS https://t.co/L6cvQ0eo4w,0
north,North Korea's Nuclear Missile Threat: Very Bad News https://t.co/SAtvYmI0qv @hobeyoco @GatestoneInst https://t.co/m2U1AA78v2,0
north,North Korea's Nuclear Missile Threat: Very Bad News https://t.co/ysSGR6jiaF @hobeyoco @GatestoneInst https://t.co/yPZQRWc0LX,0
north,North Korea's Nuclear Missile Threat: Very Bad News https://t.co/hYnP79Wbmp @hobeyoco @GatestoneInst https://t.co/GnFvYIPR9f,0
north,#NorthKorea's Nuclear Missile Threat: Very Bad News https://t.co/ZUYzdaPKbu https://t.co/QWm6a6sxWa,0
